iteration,rtt_ms
1,0.552199
2,0.642008
3,0.794989
4,0.641969
5,0.718388
6,0.673479
7,0.497419
8,0.425069
9,0.442779
10,0.434029
11,0.434549
12,0.428820
13,0.450659
14,0.440279
15,0.476179
16,0.382459
17,0.371259
18,0.458389
19,0.427660
20,0.457779
21,0.475079
22,0.412659
23,0.391439
24,0.403589
25,0.374880
26,0.408079
27,0.370719
28,0.383869
29,0.407190
30,0.404839
31,0.407379
32,0.364539
33,0.357839
34,0.340910
35,0.429339
36,0.428809
37,0.381969
38,0.341960
39,0.319279
40,0.374929
41,0.408889
42,0.406460
43,0.433769
44,0.453319
45,0.396269
46,0.408289
47,0.414039
48,0.416869
49,0.350500
50,0.399439
51,0.356569
52,0.408179
53,0.382890
54,0.340349
55,0.340649
56,0.392990
57,0.342479
58,0.308489
59,0.409039
60,0.340230
61,0.353149
62,0.331629
63,0.388170
64,0.328059
65,0.344609
66,0.341760
67,0.338989
68,0.341749
69,0.342140
70,0.313869
71,0.343699
72,0.342210
73,0.330179
74,0.344599
75,0.342220
76,0.342279
77,0.307259
78,0.342610
79,0.320199
80,0.343079
81,0.342250
82,0.342459
83,0.310099
84,0.409670
85,0.394669
86,0.409619
87,0.416589
88,0.444529
89,0.425139
90,0.419010
91,0.417279
92,0.453499
93,0.417589
94,0.351119
95,0.363440
96,0.435499
97,0.429389
98,0.339089
99,0.369379
100,0.408900
101,0.371089
102,0.336639
103,0.417369
104,0.417339
105,0.418350
106,0.418589
107,0.417639
108,0.417349
109,0.416709
110,0.417369
111,0.417010
112,0.399069
113,0.417259
114,0.353079
115,0.366870
116,0.363669
117,0.333279
118,0.331430
119,0.333709
120,0.327879
121,0.333660
122,0.440779
123,0.407169
124,0.417459
125,0.325369
126,0.417570
127,0.416979
128,0.411079
129,0.418219
130,0.400169
131,0.416830
132,0.349779
133,0.400079
134,0.349799
135,0.363260
136,0.367519
137,0.366179
138,0.366039
139,0.366390
140,0.369799
141,0.436789
142,0.419339
143,0.417369
144,0.417370
145,0.417329
146,0.417719
147,0.417109
148,0.416099
149,0.417989
150,0.428609
151,0.418870
152,0.349899
153,0.358179
154,0.350240
155,0.334609
156,0.427969
157,0.366769
158,0.329670
159,0.330809
160,0.330709
161,0.373730
162,0.353379
163,0.350789
164,0.330710
165,0.352439
166,0.350959
167,0.347539
168,0.353520
169,0.349939
170,0.356609
171,0.349860
172,0.348349
173,0.400459
174,0.350419
175,0.364200
176,0.378029
177,0.366789
178,0.351470
179,0.371259
180,0.432679
181,0.353049
182,0.354070
183,0.352949
184,0.428909
185,0.350299
186,0.362950
187,0.357219
188,0.351049
189,0.360179
190,0.349760
