iteration,rtt_ms
1,0.797888
2,0.876179
3,0.643808
4,0.600479
5,0.580179
6,0.493789
7,0.465209
8,0.481769
9,0.652099
10,0.583869
11,0.514079
12,0.592248
13,0.578409
14,0.548239
15,0.474109
16,0.511859
17,0.568569
18,0.533449
19,0.395879
20,0.437849
21,0.485169
22,0.491909
23,0.503459
24,0.439520
25,0.466549
26,0.456299
27,0.455539
28,0.488899
29,0.447139
30,0.492429
31,0.463489
32,0.423749
33,0.433659
34,0.442319
35,0.466830
36,0.432969
37,0.492099
38,0.503639
39,0.478749
40,0.439809
41,0.465259
42,0.484119
43,0.489259
44,0.497849
45,0.467039
46,0.433519
47,0.433399
48,0.465059
49,0.468659
50,0.458299
51,0.457070
52,0.452239
53,0.445119
54,0.444219
55,0.447749
56,0.432649
57,0.433839
58,0.452839
59,0.428220
60,0.443799
61,0.425479
62,0.434979
63,0.437649
64,0.521869
65,0.478259
66,0.461389
67,0.427609
68,0.510539
69,0.468479
70,0.444220
71,0.446329
72,0.451189
73,0.455969
74,0.455619
75,0.465179
76,0.452359
77,0.449029
78,0.449779
79,0.447099
80,0.445650
81,0.546179
82,0.454109
83,0.443539
84,0.444829
85,0.444549
86,0.445559
87,0.453019
88,0.436419
89,0.444569
90,0.439829
91,0.443950
92,0.451819
93,0.440049
94,0.457499
95,0.451309
96,0.450799
97,0.451549
98,0.403619
99,0.437229
100,0.446440
101,0.447839
102,0.443879
103,0.452899
104,0.446699
105,0.446169
106,0.436279
107,0.429549
108,0.443990
109,0.454509
110,0.447309
111,0.446069
112,0.453359
113,0.444869
114,0.444299
115,0.443409
116,0.412880
117,0.443289
118,0.437889
119,0.445549
120,0.446429
121,0.449399
122,0.463999
123,0.448729
124,0.453099
125,0.404680
126,0.437569
127,0.444539
128,0.446109
129,0.442709
130,0.451559
131,0.442779
132,0.454269
133,0.437589
134,0.433970
135,0.443379
136,0.449269
137,0.462009
138,0.451679
139,0.451359
140,0.445019
141,0.443499
142,0.436809
143,0.408740
144,0.439539
145,0.433009
146,0.436879
147,0.445289
148,0.437679
149,0.436649
150,0.438280
151,0.444439
152,0.447949
153,0.442889
154,0.439799
155,0.443589
156,0.451789
157,0.447259
158,0.438169
159,0.457020
160,0.442799
161,0.448589
162,0.446249
163,1.667937
164,0.467169
165,0.429459
166,0.442559
167,0.436029
168,0.446489
169,0.446139
170,0.456609
171,0.465499
172,0.446439
173,0.454080
174,0.397659
175,0.443919
176,0.451349
177,0.446519
178,0.473919
179,0.451409
180,0.455749
181,0.447459
182,0.444110
183,0.453519
184,0.437469
185,0.451079
186,0.445069
187,0.446429
188,0.442439
189,0.445459
190,0.446250
191,0.444659
192,0.450289
193,0.435839
194,0.444149
195,0.443179
196,0.442609
197,0.444589
198,0.443209
199,0.444900
200,0.443309
201,0.452309
202,0.443359
203,0.440799
204,0.438609
205,0.472849
206,0.467399
207,0.450249
208,0.451630
209,0.450229
210,0.446409
211,0.449549
212,0.447799
213,0.444109
214,0.446339
215,0.445369
216,0.454069
217,0.436779
218,0.444640
219,0.444349
220,0.444729
221,0.447599
222,0.436049
223,0.444099
224,0.446849
225,0.445479
226,0.448109
227,0.443290
228,0.446639
229,0.447359
230,0.448349
231,0.440329
232,0.447679
233,0.452129
234,0.450719
235,0.456699
236,0.464140
237,0.447309
238,0.450949
239,0.439649
240,0.453019
241,0.439099
242,0.439119
243,0.436969
244,0.439850
245,0.448919
246,0.540329
247,0.455189
248,0.447559
249,0.448759
250,0.440549
251,0.438039
252,0.402689
253,0.439019
254,0.436910
255,0.454379
256,0.448359
257,0.450599
258,0.446549
259,0.445939
260,0.438499
261,0.430479
262,0.441849
263,0.454359
264,0.451440
265,0.458589
266,0.446649
267,0.446669
268,0.451989
269,0.460059
270,0.445279
271,0.442169
272,0.446019
273,0.439760
274,0.448969
275,0.501649
276,0.535509
277,0.492119
278,0.461759
279,0.454209
280,0.460859
281,0.446379
282,0.443409
283,0.454469
284,0.445309
285,0.444779
286,0.448500
287,0.442349
288,0.437869
289,0.438329
290,0.448669
291,0.462069
292,0.447219
293,0.445639
294,0.418100
295,0.451849
296,0.483459
297,0.516709
298,0.493239
299,0.495019
300,0.505779
301,0.459389
302,0.518769
303,0.444639
304,0.443149
305,0.445579
306,0.446479
307,0.459469
308,0.440889
309,0.450509
310,0.453499
311,0.445170
312,0.446859
313,0.438559
314,0.439099
315,0.446099
316,0.439609
317,0.437929
318,0.447939
319,0.438200
320,0.461399
321,0.460189
322,0.450279
323,0.439449
324,0.441119
325,0.451949
326,0.470469
327,0.446789
328,0.446970
329,0.593188
330,0.451849
331,0.459110
332,0.447629
333,0.440569
334,0.446379
335,0.453929
336,0.454049
337,0.451639
338,0.449549
339,0.447399
340,0.447480
341,0.438719
342,0.404289
343,0.446529
344,0.466039
345,0.447199
346,0.455349
347,0.452999
348,0.453739
349,0.440319
350,0.438380
351,0.444339
352,0.440579
353,0.436509
354,0.455909
355,0.445839
356,0.453789
357,0.451379
358,0.449899
359,0.449020
360,0.449559
361,0.438859
362,0.443279
363,0.439129
364,0.434389
365,0.445649
366,0.445079
367,0.439680
368,0.438679
369,0.448009
370,0.452829
371,0.443829
372,0.437289
373,0.444709
374,0.450089
375,0.447169
376,0.448480
377,0.449679
378,0.431479
379,0.438799
380,0.444489
381,0.452249
382,0.439109
383,0.450849
384,0.447430
385,0.453729
386,0.471869
387,0.447039
388,0.437829
389,0.409929
390,0.449689
391,0.446479
392,0.447149
393,0.472279
394,0.465669
395,0.447030
396,0.453609
397,0.439209
398,0.445619
399,0.451889
400,0.442749
401,0.440869
402,0.439679
403,0.452439
404,0.446150
405,0.455809
406,0.440609
407,0.452679
408,0.454879
409,0.430549
410,0.458139
411,0.441069
412,0.533919
413,0.462799
414,0.449479
415,0.452410
416,0.447389
417,0.450669
418,0.447209
419,0.441019
420,0.468069
421,0.449449
422,0.444559
423,0.448389
424,0.434990
425,0.449159
426,0.449239
427,0.446229
428,0.440729
429,0.450159
430,0.440859
431,0.444119
432,0.439520
433,0.450779
434,0.456479
435,0.459859
436,0.456869
437,0.448739
438,0.441249
439,0.446839
440,0.481669
441,0.448119
442,0.444529
443,0.440040
444,0.437999
445,0.440209
446,0.449379
447,0.452219
448,0.439539
449,0.442939
450,0.460039
451,0.446729
452,0.452330
453,0.456559
454,0.442939
455,0.442889
456,0.449389
457,0.439989
458,0.435679
459,0.440089
460,0.442299
461,0.448900
462,0.441519
463,0.469229
464,0.451209
465,0.452829
466,0.454919
467,0.440579
468,0.460689
469,0.457819
470,0.446350
471,0.442319
472,0.450479
473,0.446549
474,0.447049
475,0.447649
476,0.450659
477,0.450409
478,0.459469
479,0.439610
480,0.432289
481,0.438969
482,0.439819
483,0.442809
484,0.450849
485,0.446559
486,0.446369
487,0.477549
488,0.439219
489,0.406390
490,0.489689
491,0.453269
492,0.461509
493,0.452219
494,0.471529
495,0.544589
496,0.458959
497,0.454429
