iteration,rtt_ms
1,0.674149
2,0.597738
3,0.586629
4,0.596029
5,0.628118
6,0.698729
7,0.593208
8,0.833558
9,0.559689
10,0.723388
11,0.646539
12,0.459319
13,0.577849
14,0.542798
15,0.599609
16,0.654539
17,0.568458
18,0.535529
19,0.529469
20,0.581169
21,0.526848
22,0.535099
23,0.525619
24,0.550809
25,0.564398
26,0.517739
27,0.548789
28,0.565329
29,0.574038
30,0.543609
31,0.589499
32,0.529089
33,0.551178
34,0.559719
35,0.550129
36,0.560709
37,0.505098
38,0.525099
39,0.522069
40,0.550199
41,0.518299
42,0.541088
43,0.522729
44,0.537019
45,0.558189
46,0.534989
47,0.528888
48,0.527899
49,0.528039
50,0.521319
51,0.531659
52,0.539268
53,0.537519
54,0.532109
55,0.549259
56,0.525609
57,0.563208
58,0.522979
59,0.537169
60,0.534239
61,0.512239
62,0.524298
63,0.646929
64,0.542679
65,0.529658
66,0.558969
67,0.539019
68,0.564069
69,0.542988
70,0.542719
71,0.544669
72,0.551849
73,0.530659
74,0.531218
75,0.563289
76,0.542009
77,0.530909
78,0.519198
79,0.566849
80,0.543559
81,0.555919
82,0.544259
83,0.531149
84,0.553949
85,0.559889
86,0.558838
87,0.555519
88,0.558819
89,0.530999
90,0.546168
91,0.532969
92,0.544649
93,0.549839
94,0.541859
95,0.564588
96,0.539869
97,0.565319
98,0.520489
99,0.575068
100,0.566139
101,0.530689
102,0.522729
103,0.505099
104,0.559378
105,0.554869
106,0.557569
107,0.532779
108,0.546798
109,0.529379
110,0.564129
111,0.533429
112,0.558168
113,0.536329
114,0.529259
115,0.553959
116,0.547189
117,0.569779
118,0.540669
119,0.556659
120,0.517629
121,0.527428
122,0.527399
123,0.541819
124,0.550019
125,0.583348
126,0.561879
127,0.553219
128,0.599498
129,0.534999
130,0.549449
131,0.535689
132,0.552419
133,0.526398
134,0.536639
135,0.534509
136,0.517509
137,0.552759
138,0.544538
139,0.577929
140,0.533209
141,0.554529
142,0.526128
143,0.539529
144,0.522849
145,0.632009
146,0.530278
147,0.542479
148,0.535359
149,0.550859
150,0.525928
151,0.532819
152,0.541139
153,0.558599
154,0.563339
155,0.525058
156,0.603789
157,0.525979
158,0.578558
159,0.571139
160,0.537099
161,0.517579
162,0.576488
163,0.598149
164,0.590309
165,0.582788
166,0.578079
167,0.549219
168,0.559109
169,0.563138
170,0.584389
171,0.571219
172,0.582638
173,0.563069
174,0.504399
175,0.710468
176,0.683479
177,0.597169
178,0.593658
179,0.606819
180,0.601438
181,0.595409
182,0.612979
183,0.568218
184,0.596809
185,0.592109
186,0.581568
187,0.571229
188,0.543619
189,0.550849
190,0.534298
191,0.517519
192,0.523319
193,0.514019
194,0.514199
195,0.516979
196,0.547998
197,0.567509
198,0.563759
199,0.551659
200,0.558468
201,0.573599
202,0.552729
203,0.539589
204,0.548148
205,0.549389
206,0.535669
207,0.553189
208,0.538688
209,0.559859
210,0.524889
211,0.528259
212,0.543738
213,0.532869
214,0.535109
215,0.516019
216,0.534049
217,0.540578
218,0.636069
219,0.522469
220,0.518419
221,0.558568
222,0.532279
223,0.562079
224,0.569889
225,0.542298
226,0.560389
227,0.527229
228,0.642178
229,0.527069
230,0.554699
231,0.553499
232,0.547029
233,0.535658
234,0.538359
235,0.540689
236,0.529069
237,0.546068
238,0.547909
239,0.513279
240,0.518979
241,0.546109
242,0.536218
243,0.532189
244,0.533259
245,0.541159
246,0.537959
247,0.554198
248,0.561019
249,0.536449
250,0.504819
251,0.511799
252,0.502728
253,0.511379
254,0.562479
255,0.549009
256,0.554308
257,0.551209
258,0.526259
259,0.537479
260,0.546919
261,0.523628
262,0.518649
263,0.519989
264,22.745309
265,0.621608
266,0.640249
267,0.628329
268,0.598028
269,0.593599
270,0.609038
271,0.608799
272,0.578139
273,0.566208
274,0.566579
275,0.614659
276,0.518969
277,0.536718
278,0.518009
279,0.524919
280,0.539359
281,0.561159
282,0.531548
283,0.544219
284,0.524689
285,0.539639
286,0.551648
287,0.548839
288,0.555609
289,0.553069
290,0.542938
291,0.548849
292,0.572839
293,0.559069
294,0.554168
295,0.552279
296,0.505979
297,0.552679
298,0.535848
299,0.551889
300,0.532449
301,0.528829
302,0.532639
303,0.558788
304,0.525929
305,0.530479
306,0.558349
307,0.516269
308,0.504228
309,0.515829
310,0.523109
311,0.514499
312,0.658408
313,0.546689
314,0.614049
315,0.550848
316,0.563179
317,0.543529
318,0.528139
319,0.495359
320,0.547068
321,0.548569
322,0.541739
323,0.541149
324,0.532209
325,0.548478
326,0.498089
327,0.508579
328,0.515699
329,0.541229
330,0.503719
331,0.517848
332,0.499599
333,0.504979
334,0.499469
335,0.503889
336,0.502519
337,0.500929
338,0.491338
339,0.523019
340,0.532429
341,0.538239
342,0.544589
343,0.527588
344,0.547899
345,0.517259
346,0.563439
347,0.558108
348,0.560519
349,0.559759
350,0.520919
351,0.537649
352,0.514558
353,0.560609
354,0.509839
355,0.549979
356,0.512999
357,0.549158
358,0.520879
359,0.550319
360,0.536629
361,0.543648
362,0.521869
363,0.542049
364,0.551449
365,0.527389
366,0.526158
367,0.522049
368,0.560259
369,0.505139
370,0.548999
371,0.556578
372,0.534619
373,0.543799
374,0.572259
375,0.546628
376,0.532749
377,0.555639
378,0.535599
379,0.540989
380,0.544298
381,0.529249
382,0.524769
383,0.530979
384,0.519169
385,0.517518
386,0.532189
387,0.551619
388,0.496129
389,0.508449
390,0.544498
391,0.581269
392,0.539459
393,0.558139
394,0.585338
395,1.476917
396,0.573859
397,0.538938
398,26.831760
399,0.527419
400,0.538308
401,0.538719
402,0.528209
403,0.516409
404,0.528179
405,0.540518
406,0.529309
407,0.514139
408,0.524279
409,0.517459
410,0.498189
411,0.513928
412,0.511119
413,0.548649
414,0.564299
415,0.545098
416,0.556359
417,0.552859
418,0.544659
419,0.524259
420,0.557018
421,0.537689
422,0.544059
423,0.519589
424,0.520408
425,0.515749
426,0.524279
427,0.551499
428,0.507499
429,0.524708
430,0.506819
431,0.534049
432,0.515359
433,0.500499
434,0.540739
435,0.498848
436,0.539099
437,0.516419
438,0.528209
439,0.547409
440,0.648058
441,0.648499
442,0.578459
443,0.534428
444,0.518839
445,0.536029
446,0.615678
447,0.526879
448,0.516149
449,0.544879
450,0.557839
451,0.562278
452,0.556249
453,0.562139
454,0.503679
455,0.522198
456,0.542419
457,0.520329
458,0.541409
459,0.532459
460,0.529888
461,0.525249
462,0.537049
463,0.562989
464,0.544789
465,0.526858
466,0.572389
467,0.543399
468,0.616188
469,0.565239
470,0.548409
471,0.543339
472,0.517989
473,0.540998
474,0.525839
475,0.519309
476,0.550049
477,0.544108
478,0.532979
479,0.650779
480,0.542869
481,0.541598
482,0.563289
483,0.546979
484,0.552839
485,0.544178
486,0.539839
487,0.532449
