iteration,rtt_ms
1,0.599398
2,0.588638
3,0.523197
4,0.497767
5,0.502896
6,0.404566
7,0.541677
8,0.565647
9,0.589348
10,0.626559
11,0.594548
12,0.539927
13,0.551307
14,0.598938
15,0.606698
16,0.531057
17,0.902382
18,0.572638
19,0.549577
20,0.528327
21,0.716180
22,0.537307
23,0.525427
24,0.566608
25,0.570287
26,0.446396
27,0.594998
28,0.561658
29,0.530157
30,0.523867
31,0.555387
32,0.584058
33,0.529467
34,0.558617
35,0.571308
36,0.421145
37,0.514307
38,0.612789
39,0.536567
40,0.505267
41,0.416835
42,0.524907
43,0.521037
44,0.509647
45,0.514527
46,0.516567
47,0.511326
48,0.421386
49,0.412475
50,0.552288
51,0.414075
52,0.562788
53,0.551697
54,0.423526
55,0.533877
56,0.561998
57,0.509046
58,0.506347
59,0.503757
60,0.523467
61,0.433336
62,0.555377
63,0.510677
64,0.513467
65,0.508076
66,0.520677
67,0.514997
68,0.428406
69,0.413305
70,0.522757
71,0.511687
72,0.534157
73,0.529087
74,0.423706
75,0.544077
76,0.531217
77,0.546318
78,0.512047
79,0.527007
80,0.522267
81,0.557447
82,0.537467
83,0.519607
84,0.529287
85,0.562758
86,0.601448
87,0.566617
88,0.520747
89,0.522957
90,0.510377
91,0.517187
92,0.526477
93,0.573247
94,0.527448
95,0.581167
96,0.675929
97,0.549798
98,0.636858
99,0.622058
100,0.640849
101,0.622079
102,0.558417
103,0.572408
104,0.512197
105,0.575247
106,0.631289
107,0.527167
108,0.540437
109,0.508457
110,0.632698
111,0.578248
112,0.638078
113,0.568908
114,0.593438
115,0.685049
116,1.004653
117,0.631839
118,0.656549
119,0.626388
120,0.642649
121,0.640578
122,0.623538
123,0.580057
124,0.638919
125,0.873451
126,0.623459
127,0.665849
128,0.655248
129,0.583898
130,0.701400
131,0.619578
132,0.597938
133,0.645718
134,0.631819
135,0.765620
136,0.644379
137,0.760840
138,0.698109
139,0.595348
140,0.765530
141,0.633539
142,0.668589
143,0.649608
144,0.632099
145,0.628948
146,0.629179
147,0.626808
148,0.634718
149,0.618379
150,0.576567
151,0.612268
152,0.596508
153,0.622549
154,0.628908
155,0.591948
156,0.583938
157,0.784490
158,0.621839
159,0.626308
160,0.688319
161,0.699150
162,0.688799
163,0.689039
164,0.684739
165,0.710150
166,0.692189
167,0.706349
168,0.708120
169,0.698029
170,0.624778
171,0.630899
172,0.621858
173,0.585778
174,0.640848
175,0.623909
176,0.576757
177,0.594018
178,0.626269
179,0.630988
180,0.603788
181,0.574268
182,0.626138
183,0.612728
184,0.588378
185,0.619038
186,0.639419
187,0.600328
188,0.603578
189,0.647529
190,0.614818
191,0.660689
192,0.705159
193,0.712930
194,0.694049
195,0.713269
196,0.678319
197,0.719010
198,0.757150
199,0.702239
200,0.676669
201,0.676939
202,0.702779
203,0.715970
204,0.650918
205,0.651409
206,0.637788
207,0.625859
208,0.577208
209,0.660748
210,0.615189
211,0.635018
212,0.635109
213,0.628098
214,0.612128
215,0.643279
216,0.620938
217,0.598518
218,0.609008
219,0.634299
220,0.624608
221,0.641678
222,0.622699
223,0.632918
224,0.639029
225,0.608788
226,0.616258
227,0.641979
228,0.597938
229,0.643048
230,0.628199
231,0.829061
232,0.628088
233,0.627448
234,0.577448
235,0.651639
236,0.570957
237,0.610539
238,0.598617
239,0.636198
240,0.574938
241,0.643808
242,0.575778
243,0.637268
244,0.577958
245,0.591068
246,0.614218
247,0.611348
248,0.614919
249,0.676789
250,0.628568
251,0.707769
252,0.640319
253,0.633299
254,0.622128
255,0.590488
256,0.626028
257,0.655449
258,0.592978
259,0.639008
260,0.644679
261,0.590458
262,0.664929
263,0.645778
264,0.593178
265,0.631979
266,0.581487
267,0.608778
268,0.644448
269,0.613918
270,0.636559
271,0.640218
272,0.615788
273,0.626169
274,0.607778
275,0.629388
276,0.628169
277,0.601198
278,0.607208
279,0.623408
280,0.586408
281,0.614908
282,0.672809
283,0.634299
284,0.636078
285,0.566428
286,0.601818
287,0.754830
288,0.635588
289,0.607708
290,0.623909
291,0.610098
292,0.587138
293,0.622168
294,0.653969
295,0.626358
296,0.611918
297,0.611278
298,0.626939
299,0.624438
300,0.633759
301,0.612228
302,0.637338
303,0.606369
304,0.622748
305,0.588058
306,0.627498
307,0.606228
308,0.658389
309,0.632238
310,0.642308
311,0.649759
312,0.632898
313,0.617948
314,0.612038
315,0.642868
316,0.637919
317,0.610948
318,0.645599
319,0.658548
320,0.628609
321,0.630908
322,0.634198
323,0.575698
324,0.603568
325,0.593208
326,0.634949
327,0.605008
328,0.607628
329,0.630858
330,0.636289
331,0.629848
332,0.589428
333,0.633559
334,0.626098
335,0.642849
336,0.624788
337,0.585048
338,0.634418
339,0.639519
340,0.607948
341,0.590758
342,0.635418
343,0.635989
344,0.643278
345,0.623759
346,0.615218
347,0.619788
348,0.640579
349,0.572477
350,0.632419
351,0.606588
352,0.643778
353,0.644959
354,0.634418
355,0.629929
356,0.599598
357,0.625158
358,0.651869
359,0.599078
360,0.600668
361,0.634658
362,0.637869
363,0.624998
364,0.610678
365,0.622739
366,0.610258
367,0.647709
368,0.622478
369,0.626748
370,0.630689
371,0.635528
372,0.625068
373,0.630309
374,0.604028
375,0.641238
376,0.622799
377,0.611138
378,0.645168
379,0.661589
380,0.631869
381,0.584997
382,0.626808
383,0.644319
384,0.630888
385,0.637778
386,0.638569
387,0.627888
388,0.592288
389,0.625639
390,0.627798
391,0.644509
392,0.596558
393,0.658778
394,0.585148
395,0.645989
396,0.627218
397,0.634129
398,0.600188
399,0.646068
400,0.624229
401,0.602948
402,0.628718
403,0.581118
404,0.611568
405,0.615568
406,0.640689
407,0.642959
408,0.577707
409,0.672729
410,0.609798
411,0.656309
412,0.665759
413,0.642899
414,0.624968
415,0.573428
416,0.623448
417,0.633818
418,0.600908
419,0.628489
420,0.619028
421,0.655549
422,0.583708
423,0.903122
424,0.615888
425,0.632108
426,0.624659
427,0.600708
428,0.615348
429,0.615428
430,0.622948
431,0.590458
432,0.623679
433,0.646278
434,0.646409
435,0.623868
436,0.574858
437,0.637868
438,0.601978
439,0.572248
440,0.575958
441,0.661479
442,0.615598
443,0.609048
444,0.623048
445,0.661349
446,0.623038
447,0.620659
448,0.605788
449,0.684149
450,0.636298
451,0.600048
452,0.639409
453,0.660249
454,0.626988
455,0.632118
456,0.631678
457,0.653049
458,0.611868
459,0.629378
460,0.623039
461,0.625588
462,0.620418
463,0.625819
464,0.631848
465,0.612588
466,0.588318
467,0.635659
468,0.635838
469,0.640149
470,0.578307
471,0.641449
472,0.583788
473,0.651938
474,0.595508
475,0.612068
476,0.626869
477,0.629598
478,0.598958
479,0.623299
480,0.624038
481,0.615018
482,0.591748
483,0.579058
484,0.626688
485,0.575398
486,0.602568
487,0.607078
488,0.598138
489,0.634778
490,0.586598
491,0.647279
492,0.637178
493,0.643879
494,0.635628
495,0.604328
496,0.626368
497,0.623148
498,0.657469
499,0.651839
500,0.643198
501,0.634149
502,0.637208
503,0.602648
504,0.628579
505,0.663659
506,0.611148
507,0.638268
508,0.586058
509,0.640009
510,0.605808
511,0.594068
512,0.603158
513,0.637338
514,0.619449
515,0.630718
516,0.635028
517,0.628459
518,0.628958
519,0.632159
520,0.781870
521,0.640879
522,0.587327
523,0.583548
524,0.630669
525,0.616968
526,0.628698
527,0.636619
528,0.662619
529,0.604478
530,0.592828
531,0.584397
532,0.682950
533,0.594298
534,0.578077
535,0.599288
536,0.587698
537,0.614098
538,0.614458
539,0.601547
540,0.657959
541,0.620199
542,0.616568
543,0.641198
544,0.620209
545,0.589177
546,0.591518
547,0.609879
548,0.601328
549,0.626338
550,0.649209
551,0.642178
552,0.744230
553,0.827241
554,0.653459
555,0.631348
556,0.573858
557,0.587678
558,0.565767
559,0.622639
560,0.612978
561,0.607078
562,0.624548
563,0.631499
564,0.587618
565,0.634768
566,0.600908
567,0.620798
568,0.618829
569,0.637588
570,0.628458
571,0.709919
572,0.605888
573,0.646239
574,0.596998
575,0.634028
576,0.674579
577,0.634059
578,0.637018
579,0.621228
580,0.630129
581,0.629598
582,0.600438
583,0.620028
584,0.610979
585,0.597258
586,0.647638
587,0.643729
588,0.599098
589,0.655359
590,0.607218
591,0.627088
592,0.611398
593,0.605308
594,0.635109
595,0.603058
596,0.611478
597,0.592318
598,0.595118
599,0.578108
600,0.567647
601,0.627569
602,0.596558
603,0.607778
604,0.640528
605,0.595158
606,0.595888
607,0.624919
608,0.609148
609,0.620988
610,0.650189
611,0.598408
612,0.636008
613,0.598998
614,0.585238
615,0.628848
616,0.659019
617,0.634569
618,0.646988
619,0.625779
620,0.663528
621,0.657299
622,0.629829
623,0.580277
624,0.585468
625,0.628589
626,0.640098
627,0.627539
628,0.607988
629,0.655148
630,3.133132
631,0.975493
632,0.631369
633,0.634678
634,0.632318
635,0.624519
636,0.578498
637,0.570647
638,0.635009
639,0.638478
640,0.606458
641,0.595218
642,0.624449
643,0.643468
644,0.574988
645,0.607178
646,0.643979
647,0.633878
648,0.587048
649,0.652318
650,0.639149
651,0.599838
652,0.631318
653,0.630679
654,0.610578
655,0.598358
656,0.629868
657,0.637269
658,0.616438
659,0.636719
660,0.634538
661,0.624488
662,0.635849
663,0.623128
664,0.632859
665,0.586998
666,0.574697
667,0.657679
668,0.601228
669,0.624928
670,0.636859
671,0.640918
672,0.606769
673,0.648868
674,0.657559
675,0.644029
676,0.580447
677,0.632049
678,0.663509
679,0.620338
680,0.624688
681,0.659359
682,0.624258
683,0.647009
684,0.654649
685,0.631698
686,0.924753
687,0.739889
688,0.672849
689,0.759691
690,0.601988
691,0.674239
692,0.639498
693,0.640319
694,0.700619
695,0.709710
696,0.649708
697,0.616858
698,0.585688
699,0.675029
700,0.634879
701,0.589178
702,0.605788
703,0.577878
704,0.660218
705,0.592398
706,0.653639
707,0.645169
708,0.710519
709,0.674549
710,0.610608
711,0.580868
712,0.607508
713,0.647949
714,0.650218
715,0.627209
716,0.597578
717,0.494976
718,0.629859
719,0.618818
720,0.621708
721,0.638139
722,0.588968
723,0.599078
724,0.669399
725,0.634608
726,0.687669
727,0.652149
728,0.587218
729,0.661519
730,0.621058
731,0.643298
732,0.586838
733,0.577178
734,0.625508
735,0.636729
736,0.590108
737,0.629438
738,0.609018
739,0.608138
740,0.636729
741,0.593288
742,0.653339
743,0.645228
744,0.628899
745,0.616998
746,0.624598
747,0.574298
748,0.938462
749,0.627839
750,0.636218
751,0.796311
752,0.639188
753,0.637079
754,0.640688
755,0.577848
756,0.636009
757,0.654978
758,0.650469
759,0.645159
760,0.686659
761,0.606538
762,0.631228
763,0.591248
764,0.571708
765,0.590568
766,0.573967
767,0.609738
768,0.583497
769,0.637129
770,0.591428
771,0.642848
772,0.642179
773,0.637198
774,0.599078
775,0.600848
776,0.617049
777,0.584297
778,0.610919
779,0.620108
780,0.646129
781,0.625498
782,0.571177
783,0.694640
784,0.632268
785,0.640619
786,0.616858
787,0.604878
788,0.620778
789,0.630199
790,0.574497
791,0.640959
792,0.568328
793,0.592098
794,0.596137
795,0.570557
796,0.586988
797,0.573308
798,0.621548
799,0.651529
800,0.605498
801,0.601518
802,0.562877
803,0.590738
804,0.622728
805,0.598288
806,0.648339
807,0.654309
808,0.627448
809,0.646779
810,0.623568
811,0.620638
812,0.625009
813,0.608758
814,0.615668
815,0.640299
816,0.623818
817,0.596868
818,0.624448
819,0.634929
820,0.612118
821,0.844591
822,0.622839
823,0.635058
824,0.669299
825,0.598358
826,0.590038
827,0.620278
828,0.649449
829,0.642238
830,0.628989
831,0.597698
832,0.623258
833,0.613918
834,0.574708
835,0.609248
836,0.626428
837,0.631259
838,0.646498
839,0.629559
840,0.596538
841,0.606798
842,0.600998
843,0.627828
844,0.602508
845,0.637559
846,0.632608
847,0.612488
848,0.571807
849,0.623898
850,0.595138
851,0.596798
852,0.592178
853,0.604878
854,0.605228
855,0.612189
856,0.641748
857,0.647579
858,0.588818
859,0.624108
860,0.623588
861,0.619069
862,0.629308
863,0.632458
864,0.623979
865,0.579447
866,0.897352
867,0.615059
868,0.630518
869,0.622458
870,0.640819
871,0.609988
872,0.619698
873,0.583048
874,0.591818
875,0.604358
876,0.609078
877,0.632229
878,0.618538
879,0.630688
880,0.615458
881,0.628699
882,0.639018
883,0.573198
884,0.637809
885,0.693529
886,0.605378
887,0.650799
888,0.627698
889,0.666249
890,0.586748
891,0.586638
892,0.606848
893,0.644348
894,0.614188
895,0.617798
896,0.615298
897,0.632328
898,0.593448
899,0.577638
900,0.574808
901,0.610238
902,0.624378
903,0.629459
904,0.622708
905,0.614208
906,0.625159
907,0.616828
908,0.642368
909,0.619049
910,0.637308
911,0.628289
912,1.282277
913,0.630358
914,0.645679
915,0.627998
916,0.626288
917,0.627099
918,0.620128
919,0.621888
920,0.666239
921,0.631119
922,0.608788
923,0.584888
924,0.629668
925,0.618268
926,0.636639
927,0.597418
928,0.640198
929,0.625289
930,0.577097
931,0.651369
932,0.614588
933,0.613308
934,0.650399
935,0.632478
936,0.618398
937,0.613068
938,0.599068
