iteration,rtt_ms
1,0.983553
2,0.924012
3,0.922392
4,0.815811
5,0.880652
6,0.868292
7,0.920922
8,0.848461
9,0.767590
10,0.779811
11,0.772850
12,0.760160
13,0.689579
14,0.720250
15,0.756080
16,0.727500
17,0.743790
18,0.691669
19,0.736860
20,0.717259
21,0.722140
22,0.696389
23,0.690069
24,0.688940
25,0.686819
26,0.684729
27,0.695419
28,0.694969
29,0.692210
30,0.999243
31,0.737670
32,0.800630
33,0.780351
34,0.773040
35,0.724070
36,0.729089
37,0.723799
38,0.832721
39,0.739470
40,0.725490
41,0.825701
42,0.709059
43,0.695730
44,0.709469
45,0.696709
46,0.728880
47,0.715209
48,0.728159
49,0.708230
50,0.718099
51,0.709150
52,0.696959
53,0.694449
54,0.718530
55,0.719379
56,0.739710
57,0.740550
58,0.768630
59,0.968813
60,0.744100
61,0.744250
62,0.738480
63,0.730410
64,0.714529
65,0.743850
66,0.728350
67,0.746990
68,0.740900
69,0.732139
70,0.729930
71,0.761030
72,0.765670
73,0.764011
74,0.739800
75,0.741349
76,0.733630
77,0.759390
78,0.738610
79,0.766830
80,0.736640
81,0.765050
82,0.735280
83,0.723430
84,0.733150
85,0.746170
86,0.741689
87,0.747490
88,0.746210
89,0.737480
90,0.739830
91,0.753190
92,0.721340
93,0.769650
94,0.767350
95,0.777741
96,0.748750
97,0.771220
98,0.740230
99,0.770380
100,0.733620
101,0.794361
102,0.991733
103,0.926722
104,0.900802
105,0.905752
106,0.828661
107,0.779561
108,0.788260
109,0.752530
110,0.828081
111,0.782931
112,0.754240
113,0.745760
114,0.735799
115,0.825211
116,0.800601
117,0.747260
118,0.784421
119,0.854171
120,0.815061
121,0.780020
122,0.783401
123,0.742289
124,0.829872
125,0.815380
126,0.827061
127,0.806171
128,0.883482
129,0.763720
130,0.759260
131,0.712910
132,0.763760
133,0.735600
134,0.737730
135,0.741619
136,0.762771
137,0.720079
138,0.789651
139,0.735540
140,0.769170
141,0.742080
142,0.742830
143,0.720179
144,0.719970
145,0.706709
146,0.736790
147,0.698779
148,0.775821
149,0.715739
150,0.707850
151,0.731619
152,0.743920
153,0.726510
154,0.726710
155,0.716739
156,0.734660
157,0.717640
158,0.695699
159,0.706279
160,0.692990
161,0.672218
162,0.661819
163,0.644209
164,0.647159
165,0.672528
166,0.695110
167,0.666749
168,0.675219
169,0.660758
170,0.666099
171,0.677469
172,0.666809
173,0.664459
174,0.670109
175,0.692969
176,0.679379
177,0.661179
178,0.666699
179,0.672919
180,0.685839
181,0.678409
182,0.729130
183,0.673779
184,0.663719
185,0.664539
186,0.694399
187,0.651439
188,0.632598
189,0.601828
190,0.606298
191,0.584068
192,0.592208
193,0.590048
194,0.591297
195,0.741820
196,0.640509
197,0.575278
198,0.642358
199,0.591088
200,0.585118
201,0.607198
202,0.585888
203,0.584068
204,0.587757
205,0.577598
206,0.579208
207,0.582388
208,0.585327
209,0.581028
210,0.576678
211,0.579678
212,0.534387
213,0.620178
214,0.634098
215,0.644749
216,0.656709
217,0.641698
218,0.635589
219,0.639428
220,0.635359
221,0.642888
222,0.656589
223,0.624398
224,0.634679
225,0.769660
226,0.697129
227,0.709870
228,0.691739
229,0.713020
230,0.712579
231,0.723190
232,0.695029
233,0.740660
234,0.740670
235,0.656158
236,0.753841
237,0.696219
238,0.680519
239,0.707319
240,0.676069
241,0.687249
242,0.683080
243,0.672129
244,0.651848
245,0.661019
246,0.631798
247,0.642779
248,0.665859
249,0.632218
250,0.614409
251,0.640078
252,0.635499
253,0.628028
254,0.637958
255,0.665429
256,0.675029
257,0.631639
258,0.672509
259,0.673159
260,0.653048
261,0.662779
262,0.654979
263,0.627318
264,0.638869
265,0.678269
266,0.634928
267,0.676839
268,0.642099
269,0.656319
270,0.617758
271,0.666029
272,0.631678
273,0.647959
274,0.632308
275,0.654519
276,0.647149
277,0.630808
278,0.663029
279,0.647738
280,0.627119
281,0.632788
282,0.705970
283,0.633318
284,0.640229
285,0.706089
286,0.630818
287,0.635599
288,0.633098
289,0.636049
290,0.631828
291,0.641739
292,0.630508
293,0.627639
294,0.622058
295,0.661199
296,0.647068
297,0.629419
298,0.634758
299,0.650399
300,0.656829
301,0.678419
302,0.672019
303,0.634758
304,0.634019
305,0.679199
306,0.679489
307,0.732229
308,0.706000
309,0.671569
310,0.723899
311,0.682539
312,0.684259
313,0.676049
314,0.694379
315,0.688369
316,0.675909
317,0.684759
318,0.671649
319,0.681849
320,0.667269
321,0.684949
322,0.682819
323,0.677549
324,0.684570
325,0.674239
326,0.685539
327,0.692229
328,0.676799
329,0.701329
330,0.690890
331,0.681479
332,0.702749
333,0.678969
334,0.620538
335,0.701000
336,0.680039
337,0.742630
338,0.681719
339,0.706279
340,0.727020
341,0.717119
342,0.744830
343,0.707160
344,0.729979
345,0.737280
346,0.781971
347,0.703529
348,0.618738
349,0.711830
350,0.696109
351,0.689149
352,0.698460
353,0.673029
354,0.697529
355,0.700519
356,0.722740
357,0.724319
358,0.692519
359,0.710129
360,0.712210
361,0.710049
362,0.729140
363,0.705439
364,0.703500
365,0.739580
366,0.715219
367,0.702529
368,0.703590
369,0.723559
370,0.706670
371,0.736230
372,0.705179
373,0.710150
374,0.703939
375,0.726610
376,0.695079
377,0.704799
378,0.699280
379,0.694169
380,0.717619
381,0.704490
382,0.715109
383,0.701060
384,0.747630
385,0.708809
386,0.692699
387,0.728770
388,0.697399
389,0.701210
390,0.716389
391,0.748280
392,0.706320
393,0.705499
394,0.714390
395,0.706489
396,0.904792
397,0.841581
398,0.850552
399,0.805950
400,0.808051
401,0.784551
402,0.796590
403,0.780041
404,0.718589
405,0.701070
406,0.716999
407,0.837221
408,0.805791
409,0.831421
410,0.816841
411,0.786761
412,0.794560
413,0.766251
414,0.774870
415,0.782860
416,0.763201
417,0.769440
418,0.787630
419,0.773141
420,0.802500
421,0.775431
422,0.773930
423,0.811641
424,0.784180
425,0.791371
426,0.780100
427,0.775991
428,0.783060
429,0.792781
430,0.784290
431,0.756300
432,0.786511
433,0.756870
434,0.804191
435,0.775450
436,0.792410
437,0.751840
438,0.786791
439,0.771250
440,0.792591
441,0.828431
442,0.793450
443,0.774681
444,0.766760
445,0.767480
446,0.775331
447,0.769770
448,0.797881
449,0.839241
450,0.779550
451,0.784921
452,0.775180
453,0.802321
454,0.760080
455,0.783740
456,0.772050
457,0.763110
458,0.759840
459,0.779420
460,0.791211
461,0.790750
462,0.798021
463,0.794681
464,0.792590
465,0.758030
466,0.820921
467,0.761010
468,0.760331
469,0.788110
470,0.769110
471,0.790681
472,0.782990
473,0.758311
