iteration,rtt_ms
1,1.357918
2,1.477260
3,1.431819
4,1.402799
5,1.078805
6,1.189946
7,1.371448
8,1.358468
9,1.289077
10,1.462749
11,1.657492
12,1.707623
13,1.452250
14,1.497760
15,1.310647
16,1.168836
17,1.134305
18,1.118185
19,1.010814
20,0.981233
21,1.009384
22,0.964902
23,4.246897
24,1.098465
25,1.090545
26,1.023464
27,0.948752
28,1.041134
29,1.054444
30,1.052005
31,0.988583
32,1.023694
33,0.981043
34,0.958263
35,0.954772
36,0.946593
37,0.975043
38,0.990033
39,0.977934
40,0.948932
41,0.980763
42,0.948462
43,0.962003
44,10.264398
45,1.176756
46,1.210656
47,1.153985
48,1.079645
49,1.042174
50,1.064514
51,1.089165
52,1.054694
53,1.031374
54,1.041684
55,1.027893
56,1.037584
57,1.048594
58,1.047825
59,1.037673
60,1.044384
61,1.028714
62,1.133995
63,1.076435
64,1.051414
65,1.050234
66,1.088755
67,1.044164
68,1.059844
69,1.086164
70,1.069024
71,1.057374
72,1.041934
73,1.040324
74,1.054214
75,1.068534
76,1.052195
77,1.073474
78,1.076964
79,1.042394
80,1.045464
81,1.048394
82,1.053984
83,1.070614
84,28.216188
85,1.123695
86,1.492460
87,1.424609
88,1.389659
89,1.391118
90,1.337998
91,1.316148
92,1.310068
93,1.308287
94,0.967103
95,1.046494
96,1.460490
97,14.040068
98,1.219986
99,1.588502
100,1.533350
101,1.406548
102,1.555421
103,1.385689
104,1.345948
105,1.409879
106,1.380208
107,1.391269
108,1.384698
109,1.373318
110,1.442189
111,1.418619
112,1.445420
113,1.421929
114,1.403639
115,1.403628
116,1.383819
117,1.422809
118,1.392009
119,1.395528
120,1.334598
121,1.362549
122,1.289337
123,1.270207
124,1.264657
125,1.241537
126,1.293827
127,1.298207
128,28.337940
129,1.541780
130,1.366878
131,1.276267
132,1.302108
133,1.255216
134,1.278897
135,1.298428
136,1.280347
137,1.260527
138,1.260957
139,1.299757
140,1.255837
141,13.900236
142,1.346368
143,1.279288
144,1.437649
145,1.270187
146,1.483220
147,1.295827
148,1.302028
149,1.395528
150,1.409819
151,1.370639
152,1.401678
153,1.407728
154,1.384329
155,1.341608
156,1.280577
157,1.293027
158,1.255487
159,1.263597
160,1.263337
161,1.317158
162,1.266087
163,1.258637
164,1.281927
165,1.276677
166,1.258577
167,1.253427
168,1.315377
169,1.403849
170,1.387579
171,1.392588
172,1.396299
173,29.518946
174,1.446359
175,1.385239
176,1.276137
177,1.271577
178,1.248237
179,1.264187
180,1.314537
181,1.309058
182,1.265527
183,1.257147
184,1.242616
185,1.285438
186,14.079088
187,1.470970
188,1.454849
189,1.456000
190,1.534900
191,1.530631
192,1.527220
193,1.479499
194,1.510301
195,1.186896
196,1.519840
197,1.543471
198,1.545830
199,1.513911
200,1.495440
201,1.516910
202,1.497590
203,1.500891
204,1.526060
205,1.369748
